USERNAME,DATE,SCORE,REVIEW,PREDICT
PHubbs,"OCT 6, 2024",5,spoiler alert review contains spoiler,1
MrFred05,"SEP 6, 2024",10,spoiler alert review contains spoiler,1
MikeD89,"JUN 21, 2024",10,movie changed life pure cinema jared leto provides performance age academy ’ understand depth one hundred percent list movie time fascinating look would happen took guy street gave three bottle tequila hour write movie favorite part morbius said “ ’ morbin time ” morbed place conclusion piece cinema one movie time list movie ever thank director masterpiece,1
JDax519,"MAY 16, 2024",10,movie made morb theater mom infact thinking making morb right,1
Nicolasyeah,"APR 13, 2024",10,spoiler alert review contains spoiler,1
Joeyburger1985,"MAR 23, 2024",2,u funny morb u funny morb u funny morb u funny morb usfunny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb usfunny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb usfunny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb usfunny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb usfunny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb usfunny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb usfunny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb usfunny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb usfunny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb usfunny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb usfunny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb usfunny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb nny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u,1
ElRankerXD,"MAR 23, 2024",10,e hora de morbosear xdxdxxdedxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxd,0
Melo51,"MAR 8, 2024",1,oh god meme werent enough save movie acting poor special effect looked terrible story trash character forgettable jared leto insufferable work behind scene shocking see trailer misleading get watch thinking connecting cinematic universe isnt,0
Instinct9279,"MAR 5, 2024",6,saw popped disney watched bus ride alright best hearing meme expecting worse pleasantly surprised cgi looked straight 2005 dialogue bit clunky time god joke painfully unfunny fight scene kind cool though ’ miracle one ’ put sleep though,0
Heisenberghamme,"FEB 13, 2024",10,movie changed life mastepeace cant help tear hear world morbin time,1
Peanuts_dx,"FEB 9, 2024",10,spoiler alert review contains spoiler,1
Isteffy,"JAN 19, 2024",2,morbius spent entire run either stealing movie making hate morbius character despite movie trying hard make line feel like written one 14 year old jared leto cult,0
NotSteve,"DEC 13, 2023",1,morbius sweep film forgettable ’ unsettling ’ know happened,0
valeriiege,"OCT 30, 2023",5,morbius bad mentioned isolated movie action visual theme delightful isolation believe didnt fulfill expectation cant say bad would accept solo movie,0
TonyPawsZero,"SEP 25, 2023",10,jared letto job playing morbius favorite part said morbin time morbed screen morbin timeits morbin timeits morbin timeits morbin timeits morbin timeits morbin time,1
Player2-Water,"SEP 17, 2023",3,spoiler alert review contains spoiler,1
Bulba2555,"JUL 4, 2023",1,despise feces boring dull illogical uninteresting bad movie marvel avenger best least could watch popcorn even despise disney franchise buy,0
OtanerfOsdamer,"JUL 2, 2023",5,dont understand people consider movie good ironically,1
fogmann,"JUN 27, 2023",10,spoiler alert review contains spoiler,1
Saihodonttop,"JUN 12, 2023",10,69ur mom best thing ever used coma someone played dis woke yiu jared leto morbussy team,1
TheBigGlober68,"JUN 6, 2023",10,cant explain good movie plot godly character development insane morbius truly best movie released recent year jared leto best performance since american psycho matt smith improved actor since awful performance doctor post credit set future collaboration morbius adrian toomes recommend movie watch would dont know wasnt nominated best picture highlight 2022 cinematography sound design amazing thank sony realising movie twice could watch twice,1
sharky0456,"MAY 5, 2023",8,despite lot people movie actually didnt mind im glad watched ironically plane movie lot better thought would honestly average marvel movie id say better avenger endgame opinion,1
alerikanderson,"APR 26, 2023",2,people like movie terrible sure visuals great actor charming soulless loud,0
Rebecca31,"MAR 31, 2023",4,biochemist michael morbius jared leto spent entire life searching cure rare blood disease many others dying finally belief ’ reached breakthrough soon realises actually infected form vampirism instead whoop primal need feed human blood desperately try cure blood craving take cue bat morbius could close greatness ’ actually frustrating see fail wanted much better ’ really feel like know kind film want superhero movie horror although first act promising set film nicely rest bit mess scene feel like ’ paying homage old school vampire movie ’ chance build tension every scene completely rushed want get cgi vampire stuff right away certainly though ’ violent atmospheric enough good horror ’ place rest ’ end great originantihero film either said ’ better venom movie put together ’ put jared leto dr michael morbius ’ best given idea morbius good ’ executed well ’ always one favour practical effect makeup cgi morbius definitely made huge mistake cgi time look awful old style vampire makeup like bram stoker ’ dracula 1992 even buffy would worked far better ’ red eye growly vampire face order try creep fight scene absolutely horrendous shadowy flying air slow motion every five second actually see ’ happening laughably bad ’ boring watch end feeling like video game ’ also strong sense disjointed story honestly felt like scene either missing cut far short may lot scene removed reshot whatever reason result film ’ know genre want severely disorganised story dodgy cgi messy fight scene top matt smith normally like matt smith felt completely miscast excessive pantomime performance went annoying annoying nowhere near standard considering hype ’ trying whip morbius long never going live die hard sonymarvel fan yes two post credit scene ’ made film ’ worth sticking around first scene second probably worst post credit scene superhero movie clearly case setting ’ franchise seriously stand alone comic book film change anyone else getting tired connected movie need seen 10 film tv show understand everything ’ going every single superhero film need connected ’ getting tiring give rest lad sony clearly trying hard get excitement going future franchise process laying foundation future movie forgot make actual good one sonymarvel would want get act together ’ planning making standard think ’ pas morbius could ’ thing set apart comic book movie considering subject given whole thing higher age rating gone horror route instead disappointing recommended comic book movie fan ’ suggest go morbius low expectation,0
MorbiusFan420,"MAR 27, 2023",10,morbius pure masterpice misunderstood critic admit hated movie first rewatching 10th time truly see masterpice jared leto performance top tier probably best weve seen morbing time scene best best writing movie milo dance beautifully executed mention soundtrack fight scene best industry director knew beautifully executed movie perfect beginning end morbius know catch essence bat whats like vampire full blooded world kinda poetic think,1
sachineldho,"MAR 25, 2023",2,wow totally trash effortless writing cliche storyline scifi word zero logic,0
Jesus_Saves,"MAR 23, 2023",10,truly movie ever vividly remember losing morginity replay twitch stream every second true bliss every day since rewatched mobius morbed every single time long live morbius,1
Seth614,"MAR 17, 2023",10,movie win oscar best movie ever favorite part say morbin time,1
turntechGodhead,"MAR 4, 2023",10,best movie time one best movie ever made good deserves 5 5 hat limit 5 hat rate movie 5 5 hat,1
jimlake,"FEB 26, 2023",10,morbin movie good love mutch never saw movie amazing movie ever deth 347 people like movie furry anime weeebs morbin time remember thumb reveiw furry anime weeeb,1
dwayno,"FEB 13, 2023",0,think jared leto might worst actor time movie house gucci,0
Steprock,"FEB 13, 2023",1,knew movie bad wow couldnt guessed lacking basic cinema storytelling 101 like character reacting thing setting something taking running want watch lot vfx running snarling random bad guy getting attacked go,0
Brocoliteeth,"FEB 6, 2023",10,spoiler alert review contains spoiler,1
Catsup,"FEB 2, 2023",10,morbius movie movie time jared leto playing morbius best thing ever seen sat theater morbius branded popcorn morbius branded drink soon title shown simuteniouly pissed came trouser even brought back war criminal father said son film time returning back grave dunno spiderman shown time though didnt need need morbius anyone know staple morbius movie eyelid play 100 brittsh pound morbilliontickes morbiussweep collapse,1
Bdger,"JAN 22, 2023",10,morbin time dont need say anything sum morbin time,1
teatom,"JAN 8, 2023",5,butchered hard think movie recent time big studio clearly destroyed movie edit phase there strong performance sensational cast movie lurch erratically scene scene like drunken sailor jump back forth time plot thread get lost one scene next character development almost nonexistent huge chunk taken scene absolutely regard audience need coherence theyre seeing id estimate there probably close hour missing footage frankly insulting audience sony thought putting movie like acceptable hopefully point studio put movie back together properly there performance gorgeous original visual style feel like could make great movie people behind scene cared enough make happen intended,0
kevscorner,"JAN 7, 2023",6,sure worth watching cinema streaming film enjoyable mean pretty basic origin story else want,1
pippoallal,"DEC 18, 2022",10,spoiler alert review contains spoiler,1
ArthurBoxwood,"DEC 1, 2022",6,reminiscent many early 2000s movie genre morbius delivers action perspective doesnt think hard 2 hour bonus hit mark intended uninspired conventional ultimately fun avoids promoting social agenda,1
CarlElmore,"NOV 25, 2022",2,matt smith easily best part movie he actor seems understand kind movie making,1
Smort,"NOV 24, 2022",10,morbius movie movie one movie released year 10,1
Bitash,"NOV 23, 2022",3,’ love love jared leto think amazing job like always dna ’ ’ like storyline character development storyline hole needed work script bit cgi good great would ok story bit better,1
tree_addict,"NOV 16, 2022",10,hotel transylvania transformania also known hotel transylvania 4 2022 american computeranimated adventure comedy film produced columbia picture sony picture animation released amazon studio fourth final installment hotel transylvania franchise sequel hotel transylvania 3 summer vacation 2018 film directed derek drymon jennifer kluska respective featurelength directorial debut screenplay amos vernon nunzio randazzo genndy tartakovsky directed prior three film star voice andy samberg selena gomez also served executive producer alongside tartakovsky michelle murdocca kathryn hahn jim gaffigan steve buscemi molly shannon david spade keeganmichael key brian hull fran drescher brad abrell asher blinkoff tyler ninja blevins zoe berri film dracula johnny transformed human monster must find way south america revert transformation become permanent originally planned released theatrically united state october 1 2021 sony picture releasing cancelled film release plan sold film distribution right amazon studio 100 million due rising case sarscov 2 delta variant united state film released exclusively amazon prime video january 14 2022 theatrically china april 3morbin time,0
bernool,"NOV 14, 2022",10,spoiler alert review contains spoiler,1
pepsi271,"NOV 14, 2022",10,man got cinema cant believe saw morbius unbelievable movie seriously one best moment whole life ive always fan morbius favorite character since small went see movie magic came back magic morbius universe came back mind exciting movie made whole room cry scream celebrate didnt even feel like watching movie felt like cure eye morbius 1000000 fan im one morbius 100000 fan im one morbius 1000 fan im one morbius 100 fan im one morbius 1 fan im fan best part movie say morbin time man feeling something inexplicable whole room screamed looked like party thought dreaming couldnt believe made film surpasses perfection morbius grade 1 film 00 1000 movie morbius movie lifestyle religion salvation good morbnight,1
Virtualnerd,"NOV 12, 2022",1,legitimately one worst film ive ever watched didnt give crap character action generic uninteresting pacing made care plot,0
Liladiz,"NOV 11, 2022",10,know state obvious movie bad know got many good user review morbin time,0
morbiuslover22,"NOV 10, 2022",10,best film 2022 dance scene matt smith gave morbgasm couldnt help 100 recommend film anyone,1
Exceladeogun,"NOV 8, 2022",3,really dont know movie made especially made movie start fairly well everything pretty much begin go downhill adult version lead involved character arc nonexistent dialogue arent good effect cgi downright atrocious acting isnt bad especially matt smith remembering poor cgi ache heart movie existed decade ago doesnt fit landscape superhero movie 2022 rate movie 3 matt smith performance exchange young character lead,0
Morbius69420,"OCT 26, 2022",10,loved morbius morbed audience made want morb put tear eye truly one movie time,1
